Date,Description,Amount,Category,Type
2025-06-17,Church Donation,156.01,Charity,expense
2025-06-17,Mobile Game Top-up,100.97,Entertainment,expense
2025-06-17,Starbucks Coffee,168.83,Coffee,expense
2025-06-17,Salon Visit,1184.24,Wellness,expense
2025-06-18,Gas Station Fill Up,1223.08,Fuel,expense
2025-06-19,Bus Fare,60.59,Transport,expense
2025-06-19,Massage Service,645.12,Wellness,expense
2025-06-20,Barangay Contribution,299.47,Charity,expense
2025-06-20,Jeepney Fare,16.69,Transport,expense
2025-06-20,Barangay Contribution,263.98,Charity,expense
2025-06-20,Robinsons Grocery,2435.26,Groceries,expense
2025-06-20,Barangay Contribution,155.46,Charity,expense
2025-06-21,Church Donation,134.22,Charity,expense
2025-06-21,Netflix Subscription,459.0,Entertainment,expense
2025-06-22,7-Eleven Brewed Coffee,57.12,Coffee,expense
2025-06-23,Robinsons Grocery,3072.87,Groceries,expense
2025-06-23,Uniqlo Clothes,1179.43,Shopping,expense
2025-06-23,Barangay Contribution,291.64,Charity,expense
2025-06-23,Dinner at Vikings,1544.12,Dining,expense
2025-06-24,Salon Visit,1088.34,Wellness,expense
2025-06-24,Samgyupsal Dinner,729.93,Food,expense
2025-06-24,Salon Visit,1279.99,Wellness,expense
2025-06-24,Gas Station Fill Up,1901.54,Fuel,expense
2025-06-24,KTV Night,866.04,Entertainment,expense
2025-06-25,Barber Shop,194.01,Wellness,expense
2025-06-26,Small Business Income,5716.81,Income,income
2025-06-26,Shakey's Pizza,718.36,Food,expense
2025-06-26,Church Donation,159.24,Charity,expense
2025-06-26,SM Grocery Shopping,2177.53,Groceries,expense
2025-06-27,Watsons Vitamins,422.56,Medical,expense
2025-06-27,Salon Visit,1481.53,Wellness,expense
2025-06-27,7-Eleven Brewed Coffee,45.62,Coffee,expense
2025-06-27,Family Dinner at Gerry's Grill,1318.15,Dining,expense
2025-06-27,7-Eleven Brewed Coffee,62.12,Coffee,expense
2025-06-28,Samgyupsal Dinner,864.82,Food,expense
2025-06-29,PLDT Internet Bill,1888.64,Utilities,expense
2025-06-29,Mobile Game Top-up,81.91,Entertainment,expense
2025-06-30,Monthly Salary,37952.71,Income,income
2025-06-30,7-Eleven Brewed Coffee,56.84,Coffee,expense
2025-06-30,Taxi Ride,213.71,Transport,expense
2025-06-30,SM Cinema Movie,451.17,Entertainment,expense
2025-06-30,Starbucks Coffee,182.89,Coffee,expense
2025-07-01,Family Dinner at Gerry's Grill,1822.36,Dining,expense
2025-07-01,Barber Shop,155.07,Wellness,expense
2025-07-01,Massage Service,469.2,Wellness,expense
2025-07-02,Church Donation,97.96,Charity,expense
2025-07-02,SM Cinema Movie,419.9,Entertainment,expense
2025-07-03,Gas Station Fill Up,1917.77,Fuel,expense
2025-07-03,Pharmacy Medicine,543.51,Medical,expense
2025-07-03,Family Dinner at Gerry's Grill,1230.19,Dining,expense
2025-07-03,Mobile Game Top-up,101.85,Entertainment,expense
2025-07-04,Dinner at Max's,748.88,Dining,expense
2025-07-04,Lazada Order,1089.95,Shopping,expense
2025-07-05,Robinsons Grocery,2705.7,Groceries,expense
2025-07-05,Netflix Subscription,459.0,Entertainment,expense
2025-07-05,Gas Station Fill Up,1209.6,Fuel,expense
2025-07-05,Freelance Payment,5171.09,Income,income
2025-07-05,Gas Station Fill Up,1545.14,Fuel,expense
2025-07-06,McDonald's Breakfast,134.2,Food,expense
2025-07-07,Shopee Purchase,853.43,Shopping,expense
2025-07-07,GrabCar Ride,306.26,Transport,expense
2025-07-07,Gas Station Fill Up,1524.92,Fuel,expense
2025-07-07,Bus Fare,31.98,Transport,expense
2025-07-08,Netflix Subscription,459.0,Entertainment,expense
2025-07-08,Jollibee Meal,103.01,Food,expense
2025-07-08,Dinner at Vikings,1701.53,Dining,expense
2025-07-08,Puregold Grocery,1864.02,Groceries,expense
2025-07-08,Barangay Contribution,182.64,Charity,expense
2025-07-09,Gas Station Fill Up,1706.86,Fuel,expense
2025-07-09,McDonald's Breakfast,121.66,Food,expense
2025-07-09,Pharmacy Medicine,580.21,Medical,expense
2025-07-09,Barangay Contribution,173.92,Charity,expense
2025-07-10,Maynilad Water Bill,528.8,Utilities,expense
2025-07-10,Dinner at Max's,609.06,Dining,expense
2025-07-10,Taxi Ride,217.26,Transport,expense
